ship,name,entry,date_from,date_to,conf,anchorage,offshore
washington,Washington,"Washington, 1825",1825,1825,year,Monterey,False
washington,Washington,"Washington, 1825",1825,1825,year,San Diego,False
washington,Washington,"Washington, 1825",1825,1825,year,Monterey,False
washington,Washington,"Washington, 1825",1825,1825,year,San Diego,False
harbinger,Harbinger,"Harbinger, 1826",1826,1826,year,San Diego,False
owhyhee,Owhyhee,"Owhyhee, 1826",1826,1826,year,San Diego,False
owhyhee,Owhyhee,"Owhyhee, 1826",1826-07-16,1826-07-16,exact,Monterey,False
owhyhee,Owhyhee,"Owhyhee, 1826",1826,1826,year,Santa Bárbara,False
owhyhee,Owhyhee,"Owhyhee, 1826",1826-08-15,1826-08-15,exact,San Diego,False
owhyhee,Owhyhee,"Owhyhee, 1826",1826,1826,year,Santa Bárbara,False
owhyhee,Owhyhee,"Owhyhee, 1826",1826-12-17,1826-12-17,exact,Monterey,False
owhyhee,Owhyhee,"Owhyhee, 1826",1826,1826,year,Monterey,False
washington,Washington,"Washington, 1826",1826,1826,year,San Francisco,False
washington,Washington,"Washington, 1826",1826,1826,year,Santa Bárbara,False
waverly,Waverly,"Waverly, 1826",1826,1826,year,San Francisco,False
waverly,Waverly,"Waverly, 1826",1826,1826,year,San Diego,False
waverly,Waverly,"Waverly, 1826",1826,1826,year,Santa Bárbara,False
waverly,Waverly,"Waverly, 1826",1826,1826,year,Santa Bárbara,False
harbinger,Harbinger,"Harbinger, 1826-1827",1826,1826,year,Monterey,False
harbinger,Harbinger,"Harbinger, 1826-1827",1826,1826,year,San Diego,False
harbinger,Harbinger,"Harbinger, 1827",1827,1827,year,San Francisco,False
harbinger,Harbinger,"Harbinger, 1827",1827,1827,year,Santa Bárbara,False
harbinger,Harbinger,"Harbinger, 1827",1827,1827,year,San Diego,False
harbinger,Harbinger,"Harbinger, 1827",1827,1827,year,San Pedro,False
harbinger,Harbinger,"Harbinger, 1827",1827,1827,year,Santa Bárbara,False
harbinger,Harbinger,"Harbinger, 1827",1827,1827,year,San Juan Capistrano,False
harbinger,Harbinger,"Harbinger, 1827",1827,1827,year,San Diego,False
harbinger,Harbinger,"Harbinger, 1827",1827,1827,year,Monterey,False
kamehameha,Kamehameha,"Kamehameha, 1827",1827,1827,year,Santa Bárbara,False
tamaahmaah,Tamaahmaah,"Tamaahmaah, 1827",1827,1827,year,San Francisco,False
waverly,Waverly,"Waverly, 1827-1828",1827,1827,year,Monterey,False
waverly,Waverly,"Waverly, 1827-1828",1827,1827,year,Santa Bárbara,False
waverly,Waverly,"Waverly, 1827-1828",1827,1827,year,San Diego,False
waverly,Waverly,"Waverly, 1827-1828",1827,1827,year,San Pedro,False
waverly,Waverly,"Waverly, 1827-1828",1827,1827,year,Santa Bárbara,False
waverly,Waverly,"Waverly, 1827-1828",1827,1827,year,Monterey,False
waverly,Waverly,"Waverly, 1827-1828",1827,1827,year,Santa Bárbara,False
griffon,Griffon,"Griffon, 1828",1828,1828,year,San Francisco,False
griffon,Griffon,"Griffon, 1828",1828,1828,year,Monterey,False
griffon,Griffon,"Griffon, 1828",1828-08-27,1828-08-27,exact,San Diego,False
karimoku,Karimoku,"Karimoku, 1828",1828,1828,year,San Pedro,False
karimoku,Karimoku,"Karimoku, 1828",1828,1828,year,San Francisco,False
karimoku,Karimoku,"Karimoku, 1828",1828,1828,year,Monterey,False
karimoku,Karimoku,"Karimoku, 1828",1828,1828,year,San Pedro,False
karimoku,Karimoku,"Karimoku, 1828",1828,1828,year,San Diego,False
karimoku,Karimoku,"Karimoku, 1828",1828,1828,year,San Diego,False
baikal,Baikal,"Baikal, 1828-1829",1828,1828,year,San Diego,False
baikal,Baikal,"Baikal, 1828-1829",1828,1828,year,San Diego,False
baikal,Baikal,"Baikal, 1828-1829",1828,1828,year,San Quintín,False
baikal,Baikal,"Baikal, 1828-1829",1828,1828,year,San Diego,False
washington,Washington,"Washington, 1828-1829",1828,1828,year,Monterey,False
washington,Washington,"Washington, 1828-1829",1828,1828,year,Santa Bárbara,False
washington,Washington,"Washington, 1828-1829",1828,1828,year,San Diego,False
waverly,Waverly,"Waverly, 1828-1829",1828,1828,year,San Diego,False
waverly,Waverly,"Waverly, 1828-1829",1828,1828,year,Bodega,False
waverly,Waverly,"Waverly, 1828-1829",1828,1828,year,Santa Bárbara,False
waverly,Waverly,"Waverly, 1828-1829",1828-12-21,1828-12-21,exact,Monterey,False
waverly,Waverly,"Waverly, 1828-1829",1829-01-30,1829-01-30,exact,Santa Bárbara,False
dhualle,Dhualle,"Dhualle, 1829",1829,1829,year,Monterey,False
dhualle,Dhualle,"Dhualle, 1829",1829,1829,year,Santa Bárbara,False
dhualle,Dhualle,"Dhualle, 1829",1829,1829,year,Santa Bárbara,False
diana,Diana,"Diana, 1829",1829,1829,year,Monterey,False
volunteer,Volunteer,"Volunteer, 1829",1829,1829,year,San Francisco,False
volunteer,Volunteer,"Volunteer, 1829",1829,1829,year,Monterey,False
washington,Washington,"Washington, 1829",1829,1829,year,San Diego,False
washington,Washington,"Washington, 1829",1829,1829,year,Santa Bárbara,False
washington,Washington,"Washington, 1829",1829,1829,year,Monterey,False
brookline,Brookline,"Brookline, 1829-1830",1829-03-17,1829-03-17,exact,Monterey,False
brookline,Brookline,"Brookline, 1829-1830",1829-04-29,1829-04-29,exact,San Diego,False
brookline,Brookline,"Brookline, 1829-1830",1829-06-03,1829-06-03,exact,Santa Bárbara,False
brookline,Brookline,"Brookline, 1829-1830",1829,1829,year,San Diego,False
brookline,Brookline,"Brookline, 1829-1830",1829,1829,year,San Francisco,False
brookline,Brookline,"Brookline, 1829-1830",1829,1829,year,Santa Bárbara,False
brookline,Brookline,"Brookline, 1829-1830",1829,1829,year,San Diego,False
brookline,Brookline,"Brookline, 1829-1830",1829-05-09,1829-05-09,exact,Monterey,False
brookline,Brookline,"Brookline, 1829-1830",1829,1829,year,Santa Bárbara,False
brookline,Brookline,"Brookline, 1829-1830",1829,1829,year,Santa Bárbara,False
volunteer,Volunteer,"Volunteer, 1830",1830,1830,year,Monterey,False
volunteer,Volunteer,"Volunteer, 1830",1830-05-08,1830-05-08,exact,Monterey,False
volunteer,Volunteer,"Volunteer, 1830",1830,1830,year,San Blas,False
volunteer,Volunteer,"Volunteer, 1830",1830,1830,year,San Blas,False
convoy,Convoy,"Convoy, 1831",1831,1831,year,Monterey,False
convoy,Convoy,"Convoy, 1831",1831,1831,year,Monterey,False
convoy,Convoy,"Convoy, 1831",1831,1831,year,Santa Bárbara,False
